dataset,algorithm,r2_test,mse_test,symbolic_solution
feynman_III_12_43,EPLEX,0.9999083280940084,5.884263188738592e-05,False
feynman_III_12_43,EPLEX,0.9999997921089312,1.361546190829531e-07,False
feynman_III_12_43,FEAT,0.9999999999999908,6.024461815227669e-15,False
feynman_III_12_43,FEAT,0.9999999999999906,6.159405521564733e-15,False
feynman_III_12_43,FEAT,0.9999999999999908,6.060320615016935e-15,False
feynman_III_12_43,FEAT,0.9999999999999908,5.934433391788336e-15,False
feynman_III_12_43,FEAT,0.9999999999999978,1.41948682819522e-15,False
feynman_III_12_43,FEAT,0.9999999999999906,6.095575488438052e-15,False
feynman_III_12_43,FEAT,0.9999999999999905,6.165581042290172e-15,False
feynman_III_12_43,FEAT,0.9999999999999908,6.100098557437565e-15,False
feynman_III_12_43,FFX,0.9979697466598372,0.0013154510536567,False
feynman_III_12_43,FFX,0.9980117437012482,0.001299330029359,False
feynman_III_12_43,FFX,0.9979768067851144,0.0013154209266678,False
feynman_III_12_43,FFX,0.9979734326337744,0.001317865358802,False
feynman_III_12_43,FFX,0.9979774232761728,0.0013204706024416,False
feynman_III_12_43,FFX,0.9979726819067438,0.0013141309740784,False
feynman_III_12_43,FFX,0.9979940251154232,0.0012876010423444,False
feynman_III_12_43,FFX,0.9979747281116862,0.0013264163975326,False
feynman_III_12_43,GP-GOMEA,1.0,1.226520319140047e-31,True
feynman_III_12_43,GP-GOMEA,1.0,1.2398804181270635e-31,True
feynman_III_12_43,GP-GOMEA,1.0,1.2399962820725178e-31,True
feynman_III_12_43,GP-GOMEA,1.0,1.2309354750189558e-31,True
feynman_III_12_43,GP-GOMEA,1.0,1.2945435484782221e-31,True
feynman_III_12_43,GP-GOMEA,1.0,1.2416553551638108e-31,True
feynman_III_12_43,GP-GOMEA,1.0,1.2621071904292475e-31,True
feynman_III_12_43,GP-GOMEA,1.0,1.2448887604288435e-31,True
feynman_III_12_43,ITEA,1.0,7.457644787075355e-31,True
feynman_III_12_43,ITEA,1.0,2.3424407369943943e-30,True
feynman_III_12_43,ITEA,1.0,5.214016828698703e-31,True
feynman_III_12_43,ITEA,1.0,5.401145112476024e-31,True
feynman_III_12_43,ITEA,1.0,2.8567109015769133e-30,True
feynman_III_12_43,ITEA,1.0,3.423648624939414e-31,True
feynman_III_12_43,ITEA,1.0,4.677344524336984e-30,True
feynman_III_12_43,ITEA,1.0,1.1497515189616072e-30,True
feynman_III_12_43,MRGP,0.9999566858853276,2.816156778359363e-05,False
feynman_III_12_43,MRGP,0.9999566870794908,2.8063506062786493e-05,False
feynman_III_12_43,MRGP,0.9999097458912012,5.911034984804063e-05,False
feynman_III_12_43,MRGP,0.9999566052838064,2.821933984521552e-05,False
feynman_III_12_43,MRGP,0.9999604615123908,2.5838491897750155e-05,False
feynman_III_12_43,MRGP,0.9999518004924786,3.124347677849814e-05,False
feynman_III_12_43,MRGP,0.9999567006517032,2.779311267982408e-05,False
feynman_III_12_43,MRGP,0.9999635077566504,2.3824527392576246e-05,False
feynman_III_12_43,Operon,0.999999999999978,1.4206476169900168e-14,True
feynman_III_12_43,Operon,0.9999999999998463,1.0035843886380017e-13,True
feynman_III_12_43,Operon,0.9999999999999524,3.1001018357139395e-14,True
feynman_III_12_43,Operon,0.99999999999998,1.2935526098514497e-14,True
feynman_III_12_43,Operon,0.9999999999999758,1.5721934750186246e-14,True
feynman_III_12_43,Operon,0.9999999999980954,1.2434507469822672e-12,True
feynman_III_12_43,Operon,0.9999999999999836,1.0599223837428043e-14,True
feynman_III_12_43,Operon,0.9999999999663608,2.174659381500519e-11,True
feynman_III_12_43,Operon,0.9999999999991632,5.372132525361e-13,True
feynman_III_12_43,Operon,0.9999999999999716,1.861860716261397e-14,True
feynman_III_12_43,SBP-GP,1.0,1.2685419534850387e-31,True
feynman_III_12_43,SBP-GP,1.0,1.2400924244953415e-31,False
feynman_III_12_43,SBP-GP,1.0,1.2632920225310346e-31,False
feynman_III_12_43,SBP-GP,1.0,1.2998433995363843e-31,True
feynman_III_12_43,SBP-GP,1.0,1.2376934861566128e-31,True
feynman_III_12_43,SBP-GP,1.0,1.3103287784512107e-31,True
feynman_III_12_43,SBP-GP,1.0,1.232459270790955e-31,True
feynman_III_12_43,SBP-GP,1.0,1.2822018812457975e-31,True
feynman_III_12_43,SeTGAP,1.0,8.20796415114955e-10,True
feynman_III_12_43,SeTGAP,0.999999999999994,1.5686776982047446e-08,True
feynman_III_12_43,SeTGAP,0.9999999999999996,1.0607601139856726e-10,True
feynman_III_12_43,SeTGAP,0.999999999999998,5.245686233204442e-10,True
feynman_III_12_43,SeTGAP,0.9999999999999984,9.805180093096119e-12,True
feynman_III_12_43,SeTGAP,1.0,9.65044276026463e-10,True
feynman_III_12_43,SeTGAP,0.9999999999999984,1.647275819292687e-08,True
feynman_III_12_43,SeTGAP,1.0,1.06374385809303e-08,True
feynman_III_12_43,SeTGAP,1.0,4.810077927434384e-09,True
feynman_III_12_43,SeTGAP,1.0,2.3610731932952786e-08,True
feynman_III_12_43,gplearn,0.999825437385274,0.0001134954955043,True
feynman_III_12_43,gplearn,0.9685368650314116,0.0205612305154673,False
feynman_III_12_43,gplearn,0.9982281186793912,0.0011522444559481,False
feynman_III_12_43,gplearn,0.9834813460682068,0.0107028419999172,False
feynman_III_12_43,gplearn,0.997910765548878,0.0013639891341646,False
feynman_III_12_43,gplearn,0.9903802892064388,0.006235607504095,False
feynman_III_12_43,gplearn,0.9900288883074458,0.0064002864180301,False
feynman_III_12_43,gplearn,0.973234496636628,0.0175295982501146,False
feynman_III_13_18,AFP,0.975652109198016,7899.9097259530545,False
feynman_III_13_18,AFP,0.9977131752786166,721.1238850078369,False
